Id,Chinese,English
Item_20204,烤火腿,
Item_20205,烤鹌鹑,
Item_20206,鹿肉汤,
Item_20207,香辣鹿肉,
Item_20208,烤熊肋排,
Item_20209,烤天鹅,
Item_20210,热带佳肴,
Item_20301,烤沙丁鱼,
Item_20302,清蒸石斑鱼,
Item_20303,盐煎秋刀鱼,
Item_20304,蒸蟹,
Item_20305,糖醋鲤鱼,
Item_20306,水煮鱼,
Item_20307,金枪鱼寿司,
Item_20308,龙虾刺身,
Item_20309,鮟鱇鱼锅,
Item_20310,寿司拼盘,
Item_20401,苹果汁,
Item_20402,橘子汽水,
Item_20403,冰淇淋,
Item_20404,葡萄汁,
Item_20405,芒果冰沙,
Item_20406,椰汁,
Item_20407,雪顶苹果汁,
Item_20408,草莓圣代,
Item_20409,巧克力圣代,
Item_20410,可乐,
Item_20501,酒1,
Item_20502,酒2,
Item_20503,酒3,
Item_20504,酒4,
Item_20505,酒5,
Item_20506,酒6,
Item_20507,酒7,
Item_20508,酒8,
Item_20509,酒9,
Item_20510,酒10,
Item_30001,小麦,
Item_30002,面粉,
Item_30003,牛奶,
Item_30004,甜菜,
Item_30005,糖,
Item_30006,奶油,
Item_30007,鸡蛋,
Item_30008,亚麻,
Item_30009,亚麻布,
Item_30101,铜矿石,
Item_30102,锡矿石,
Item_30103,煤块,
Item_30104,铁矿石,
Item_30105,银矿石,
Item_30106,金矿石,
Item_30107,黑铁矿石,
Item_30108,山铜矿石,
Item_30109,秘银矿石,
Item_30110,精金矿石,
Item_30201,铜锭,
Item_30202,青铜锭,
Item_30203,铁锭,
Item_30204,钢锭,
Item_30205,银锭,
Item_30206,金锭,
Item_30207,黑铁锭,
Item_30208,山铜锭,
Item_30209,秘银锭,
Item_30210,精金锭,
Item_30301,苹果木,
Item_30302,胡桃木,
Item_30303,白桦木,
Item_30304,松木,
Item_30305,榉木,
Item_30306,橡木,
Item_30307,紫杉木,
Item_30308,梣木,
Item_30309,乌木,
Item_30310,神木,
Item_30401,皮1,
Item_30402,皮2,
Item_30403,皮3,
Item_30404,皮4,
Item_30405,皮5,
Item_30406,皮6,
Item_30407,皮7,
Item_30408,皮8,
Item_30409,皮9,
Item_30410,皮10,
Item_30501,鸡肉,
Item_30502,牛肉,
Item_30503,兔肉,
Item_30504,野猪火腿,
Item_30505,鹌鹑肉,
Item_30506,鹿肉,
Item_30507,熊肉,
Item_30508,天鹅肉,
Item_30509,神秘的肉,
Item_30510,梦幻肉,
Item_30601,猫眼石,
Item_30602,翡翠,
Item_30603,琥珀,
Item_30604,珍珠,
Item_30605,蓝宝石,
Item_30606,红宝石,
Item_30607,紫水晶,
Item_30608,钻石,
Item_30609,黑曜石,
Item_30610,虚空水晶,
Item_30701,苹果,
Item_30702,橘子,
Item_30703,柠檬,
Item_30704,紫葡萄,
Item_30705,白葡萄,
Item_30706,红葡萄,
Item_30707,椰子,
Item_30708,芒果,
Item_30709,草莓,
Item_30710,樱桃,
Item_30801,南瓜,
Item_30802,胡萝卜,
Item_30803,甘蓝,
Item_30804,辣椒,
Item_30901,沙丁鱼,
Item_30902,石斑鱼,
Item_30903,秋刀鱼,
Item_30904,螃蟹,
Item_30905,鲤鱼,
Item_30906,鲶鱼,
Item_30907,金枪鱼,
Item_30908,龙虾,
Item_30909,鮟鱇鱼,
Item_30910,旗鱼,
Item_31001,巧克力豆,
Item_31002,牵牛花,
Item_31003,玫瑰花,
Item_31004,百合花,
Item_31005,紫罗兰,
Item_31006,郁金香,
Item_31007,火焰花,
Item_31008,精灵根,
Item_31009,曼陀罗,
Item_31010,魔力之种,
Item_Info_11101,,
Item_Info_11102,,
Item_Info_11103,,
Item_Info_11104,,
Item_Info_11105,,
Item_Info_11106,,
Item_Info_11107,,
Item_Info_11108,,
Item_Info_11109,,
Item_Info_11110,,
Item_Info_11201,,
Item_Info_11202,,
Item_Info_11203,,
Item_Info_11204,,
Item_Info_11205,,
Item_Info_11206,,
Item_Info_11207,,
Item_Info_11208,,
Item_Info_11209,,
Item_Info_11210,,
Item_Info_11301,,
Item_Info_11401,,
Item_Info_11402,,
Item_Info_11403,,
Item_Info_11404,,
Item_Info_11405,,
Item_Info_11406,,
Item_Info_11407,,
Item_Info_11408,,
Item_Info_11409,,
Item_Info_11410,,
Item_Info_12101,,
Item_Info_12102,,
Item_Info_12103,,
Item_Info_12104,,
Item_Info_12105,,
Item_Info_12106,,
Item_Info_12107,,
Item_Info_12108,,
Item_Info_12109,,
Item_Info_12110,,
Item_Info_12201,,
Item_Info_12202,,
Item_Info_12203,,
Item_Info_12204,,
Item_Info_12205,,
Item_Info_12206,,
Item_Info_12207,,
Item_Info_12208,,
Item_Info_12209,,
Item_Info_12210,,
Item_Info_13101,,
Item_Info_13102,,
Item_Info_13103,,
Item_Info_13104,,
Item_Info_13105,,
Item_Info_13106,,
Item_Info_13107,,
Item_Info_13108,,
Item_Info_13109,,
Item_Info_13110,,
Item_Info_13201,,
Item_Info_13202,,
Item_Info_13203,,
Item_Info_13204,,
Item_Info_13205,,
Item_Info_13206,,
Item_Info_13207,,
Item_Info_13208,,
Item_Info_13209,,
Item_Info_13210,,
Item_Info_13301,,
Item_Info_13302,,
Item_Info_13303,,
Item_Info_13304,,
Item_Info_13305,,
Item_Info_13306,,
Item_Info_13307,,
Item_Info_13308,,
Item_Info_13309,,
Item_Info_13310,,
Item_Info_14101,,
Item_Info_14102,,
Item_Info_14103,,
Item_Info_14104,,
Item_Info_14105,,
Item_Info_14106,,
Item_Info_14107,,
Item_Info_14108,,
Item_Info_14109,,
Item_Info_14110,,
Item_Info_14201,,
Item_Info_14202,,
Item_Info_14203,,
Item_Info_14204,,
Item_Info_14205,,
Item_Info_14206,,
Item_Info_14207,,
Item_Info_14208,,
Item_Info_14209,,
Item_Info_14210,,
Item_Info_14301,,
Item_Info_14302,,
Item_Info_14303,,
Item_Info_14304,,
Item_Info_14305,,
Item_Info_14306,,
Item_Info_14307,,
Item_Info_14308,,
Item_Info_14309,,
Item_Info_14310,,
Item_Info_20101,,
Item_Info_20102,,
Item_Info_20103,,
Item_Info_20104,,
Item_Info_20105,,
Item_Info_20106,,
Item_Info_20107,,
Item_Info_20108,,
Item_Info_20109,,
Item_Info_20110,,
Item_Info_20201,,
Item_Info_20202,,
Item_Info_20203,,
Item_Info_20204,,
Item_Info_20205,,
Item_Info_20206,,
Item_Info_20207,,
Item_Info_20208,,
Item_Info_20209,,
Item_Info_20210,,
Item_Info_20301,,
Item_Info_20302,,
Item_Info_20303,,
Item_Info_20304,,
Item_Info_20305,,
Item_Info_20306,,
Item_Info_20307,,
Item_Info_20308,,
Item_Info_20309,,
Item_Info_20310,,
Item_Info_20401,,
Item_Info_20402,,
Item_Info_20403,,
Item_Info_20404,,
Item_Info_20405,,
Item_Info_20406,,
Item_Info_20407,,
Item_Info_20408,,
Item_Info_20409,,
Item_Info_20410,,
Item_Info_20501,,
Item_Info_20502,,
Item_Info_20503,,
Item_Info_20504,,
Item_Info_20505,,
Item_Info_20506,,
Item_Info_20507,,
Item_Info_20508,,
Item_Info_20509,,
Item_Info_20510,,
Item_Info_30001,,
Item_Info_30002,,
Item_Info_30003,,
Item_Info_30004,,
Item_Info_30005,,
Item_Info_30006,,
Item_Info_30007,,
Item_Info_30008,,
Item_Info_30009,,
Item_Info_30101,,
Item_Info_30102,,
Item_Info_30103,,
Item_Info_30104,,
Item_Info_30105,,
Item_Info_30106,,
Item_Info_30107,,
Item_Info_30108,,
Item_Info_30109,,
Item_Info_30110,,
Item_Info_30201,,
Item_Info_30202,,
Item_Info_30203,,
Item_Info_30204,,
Item_Info_30205,,
Item_Info_30206,,
Item_Info_30207,,
Item_Info_30208,,
Item_Info_30209,,
Item_Info_30210,,
Item_Info_30301,,
Item_Info_30302,,
Item_Info_30303,,
Item_Info_30304,,
Item_Info_30305,,
Item_Info_30306,,
Item_Info_30307,,
Item_Info_30308,,
Item_Info_30309,,
Item_Info_30310,,
Item_Info_30401,,
Item_Info_30402,,
Item_Info_30403,,
Item_Info_30404,,
Item_Info_30405,,
Item_Info_30406,,
Item_Info_30407,,
Item_Info_30408,,
Item_Info_30409,,
Item_Info_30410,,
Item_Info_30501,,
Item_Info_30502,,
Item_Info_30503,,
Item_Info_30504,,
Item_Info_30505,,
Item_Info_30506,,
Item_Info_30507,,
Item_Info_30508,,
Item_Info_30509,,
Item_Info_30510,,
Item_Info_30601,,
Item_Info_30602,,
Item_Info_30603,,
Item_Info_30604,,
Item_Info_30605,,
Item_Info_30606,,
Item_Info_30607,,
Item_Info_30608,,
Item_Info_30609,,
Item_Info_30610,,
Item_Info_30701,,
Item_Info_30702,,
Item_Info_30703,,
Item_Info_30704,,
Item_Info_30705,,
Item_Info_30706,,
Item_Info_30707,,
Item_Info_30708,,
Item_Info_30709,,
Item_Info_30710,,
Item_Info_30801,,
Item_Info_30802,,
Item_Info_30803,,
Item_Info_30804,,
Item_Info_30901,,
Item_Info_30902,,
Item_Info_30903,,
Item_Info_30904,,
Item_Info_30905,,
Item_Info_30906,,
Item_Info_30907,,
Item_Info_30908,,
Item_Info_30909,,
Item_Info_30910,,
Item_Info_31001,,
Item_Info_31002,,
Item_Info_31003,,
Item_Info_31004,,
Item_Info_31005,,
Item_Info_31006,,
Item_Info_31007,,
Item_Info_31008,,
Item_Info_31009,,
Item_Info_31010,,
Task_11101,,
Task_11102,,
Task_11103,,
Task_11104,,
Task_11105,,
Task_11106,,
Task_11107,,
Task_11108,,
Task_11109,,
Task_11110,,
Task_11201,,
Task_11202,,
Task_11203,,
Task_11204,,
Task_11205,,
Task_11206,,
Task_11207,,
Task_11208,,
Task_11209,,
Task_11210,,
Task_12101,,
Task_12102,,
Task_12103,,
Task_12104,,
Task_12105,,
Task_12106,,
Task_12107,,
Task_12108,,
Task_12109,,
Task_12110,,
Task_13101,,
Task_13102,,
Task_13103,,
Task_13104,,
Task_13105,,
Task_13106,,
Task_13107,,
Task_13108,,
Task_13109,,
Task_13110,,
Task_14101,,
Task_14102,,
Task_14103,,
Task_14104,,
Task_14105,,
Task_14106,,
Task_14107,,
Task_14108,,
Task_14109,,
Task_14110,,
Task_30201,,
Task_30202,,
Task_30203,,
Task_30204,,
Task_30205,,
Task_30206,,
Task_30207,,
Task_30208,,
Task_30209,,
Task_30210,,
Task_11301,,
Task_11302,,
Task_11303,,
Task_11304,,
Task_11305,,
Task_11306,,
Task_11307,,
Task_11308,,
Task_11309,,
Task_11310,,
Task_11401,,
Task_11402,,
Task_11403,,
Task_11404,,
Task_11405,,
Task_11406,,
Task_11407,,
Task_11408,,
Task_11409,,
Task_11410,,
Task_13201,,
Task_13202,,
Task_13203,,
Task_13204,,
Task_13205,,
Task_13206,,
Task_13207,,
Task_13208,,
Task_13209,,
Task_13210,,
Task_13301,,
Task_13302,,
Task_13303,,
Task_13304,,
Task_13305,,
Task_13306,,
Task_13307,,
Task_13308,,
Task_13309,,
Task_13310,,
Task_12201,,
Task_12202,,
Task_12203,,
Task_12204,,
Task_12205,,
Task_12206,,
Task_12207,,
Task_12208,,
Task_12209,,
Task_12210,,
Task_14201,,
Task_14202,,
Task_14203,,
Task_14204,,
Task_14205,,
Task_14206,,
Task_14207,,
Task_14208,,
Task_14209,,
Task_14210,,
Task_14301,,
Task_14302,,
Task_14303,,
Task_14304,,
Task_14305,,
Task_14306,,
Task_14307,,
Task_14308,,
Task_14309,,
Task_14310,,
Task_30002,,
Task_30005,,
Task_30006,,
Task_20101,,
Task_20102,,
Task_20103,,
Task_20104,,
Task_20105,,
Task_20106,,
Task_20107,,
Task_20108,,
Task_20109,,
Task_20110,,
Task_20201,,
Task_20202,,
Task_20203,,
Task_20204,,
Task_20205,,
Task_20206,,
Task_20207,,
Task_20208,,
Task_20209,,
Task_20210,,
Task_20301,,
Task_20302,,
Task_20303,,
Task_20304,,
Task_20305,,
Task_20306,,
Task_20307,,
Task_20308,,
Task_20309,,
Task_20310,,
Task_20401,,
Task_20402,,
Task_20403,,
Task_20404,,
Task_20405,,
Task_20406,,
Task_20407,,
Task_20408,,
Task_20409,,
Task_20410,,
Task_20501,,
Task_20502,,
Task_20503,,
Task_20504,,
Task_20505,,
Task_20506,,
Task_20507,,
Task_20508,,
Task_20509,,
Task_20510,,
Task_30001,,
Task_30004,,
Task_30801,,
Task_30802,,
Task_30803,,
Task_30804,,
Task_30101,,
Task_30102,,
Task_30103,,
Task_30104,,
Task_30105,,
Task_30106,,
Task_30107,,
Task_30108,,
Task_30109,,
Task_30110,,
Task_30301,,
Task_30302,,
Task_30303,,
Task_30304,,
Task_30305,,
Task_30306,,
Task_30307,,
Task_30308,,
Task_30309,,
Task_30310,,
Task_30401,,
Task_30402,,
Task_30403,,
Task_30404,,
Task_30405,,
Task_30406,,
Task_30407,,
Task_30408,,
Task_30409,,
Task_30410,,
Task_30003,,
Task_30007,,
Task_30501,,
Task_30502,,
Task_30503,,
Task_30504,,
Task_30505,,
Task_30506,,
Task_30507,,
Task_30508,,
Task_30509,,
Task_30510,,
Task_30901,,
Task_30902,,
Task_30903,,
Task_30904,,
Task_30905,,
Task_30906,,
Task_30907,,
Task_30908,,
Task_30909,,
Task_30910,,
Task_30701,,
Task_30702,,
Task_30703,,
Task_30704,,
Task_30705,,
Task_30706,,
Task_30707,,
Task_30708,,
Task_30709,,
Task_30710,,
Task_Info_11101,,
Task_Info_11102,,
Task_Info_11103,,
Task_Info_11104,,
Task_Info_11105,,
Task_Info_11106,,
Task_Info_11107,,
Task_Info_11108,,
Task_Info_11109,,
Task_Info_11110,,
Task_Info_11201,,
Task_Info_11202,,
Task_Info_11203,,
Task_Info_11204,,
Task_Info_11205,,
Task_Info_11206,,
Task_Info_11207,,
Task_Info_11208,,
Task_Info_11209,,
Task_Info_11210,,
Task_Info_12101,,
Task_Info_12102,,
Task_Info_12103,,
Task_Info_12104,,
Task_Info_12105,,
Task_Info_12106,,
Task_Info_12107,,
Task_Info_12108,,
Task_Info_12109,,
Task_Info_12110,,
Task_Info_13101,,
Task_Info_13102,,
Task_Info_13103,,
Task_Info_13104,,
Task_Info_13105,,
Task_Info_13106,,
Task_Info_13107,,
Task_Info_13108,,
Task_Info_13109,,
Task_Info_13110,,
Task_Info_14101,,
Task_Info_14102,,
Task_Info_14103,,
Task_Info_14104,,
Task_Info_14105,,
Task_Info_14106,,
Task_Info_14107,,
Task_Info_14108,,
Task_Info_14109,,
Task_Info_14110,,
Task_Info_30201,,
Task_Info_30202,,
Task_Info_30203,,
Task_Info_30204,,
Task_Info_30205,,
Task_Info_30206,,
Task_Info_30207,,
Task_Info_30208,,
Task_Info_30209,,
Task_Info_30210,,
Task_Info_11301,,
Task_Info_11302,,
Task_Info_11303,,
Task_Info_11304,,
Task_Info_11305,,
Task_Info_11306,,
Task_Info_11307,,
Task_Info_11308,,
Task_Info_11309,,
Task_Info_11310,,
Task_Info_11401,,
Task_Info_11402,,
Task_Info_11403,,
Task_Info_11404,,
Task_Info_11405,,
Task_Info_11406,,
Task_Info_11407,,
Task_Info_11408,,
Task_Info_11409,,
Task_Info_11410,,
Task_Info_13201,,
Task_Info_13202,,
Task_Info_13203,,
Task_Info_13204,,
Task_Info_13205,,
Task_Info_13206,,
Task_Info_13207,,
Task_Info_13208,,
Task_Info_13209,,
Task_Info_13210,,
Task_Info_13301,,
Task_Info_13302,,
Task_Info_13303,,
Task_Info_13304,,
Task_Info_13305,,
Task_Info_13306,,
Task_Info_13307,,
Task_Info_13308,,
Task_Info_13309,,
Task_Info_13310,,
Task_Info_12201,,
Task_Info_12202,,
Task_Info_12203,,
Task_Info_12204,,
Task_Info_12205,,
Task_Info_12206,,
Task_Info_12207,,
Task_Info_12208,,
Task_Info_12209,,
Task_Info_12210,,
Task_Info_14201,,
Task_Info_14202,,
Task_Info_14203,,
Task_Info_14204,,
Task_Info_14205,,
Task_Info_14206,,
Task_Info_14207,,
Task_Info_14208,,
Task_Info_14209,,
Task_Info_14210,,
Task_Info_14301,,
Task_Info_14302,,
Task_Info_14303,,
Task_Info_14304,,
Task_Info_14305,,
Task_Info_14306,,
Task_Info_14307,,
Task_Info_14308,,
Task_Info_14309,,
Task_Info_14310,,
Task_Info_30002,,
Task_Info_30005,,
Task_Info_30006,,
Task_Info_20101,,
Task_Info_20102,,
Task_Info_20103,,
Task_Info_20104,,
Task_Info_20105,,
Task_Info_20106,,
Task_Info_20107,,
Task_Info_20108,,
Task_Info_20109,,
Task_Info_20110,,
Task_Info_20201,,
Task_Info_20202,,
Task_Info_20203,,
Task_Info_20204,,
Task_Info_20205,,
Task_Info_20206,,
Task_Info_20207,,
Task_Info_20208,,
Task_Info_20209,,
Task_Info_20210,,
Task_Info_20301,,
Task_Info_20302,,
Task_Info_20303,,
Task_Info_20304,,
Task_Info_20305,,
Task_Info_20306,,
Task_Info_20307,,
Task_Info_20308,,
Task_Info_20309,,
Task_Info_20310,,
Task_Info_20401,,
Task_Info_20402,,
Task_Info_20403,,
Task_Info_20404,,
Task_Info_20405,,
Task_Info_20406,,
Task_Info_20407,,
Task_Info_20408,,
Task_Info_20409,,
Task_Info_20410,,
Task_Info_20501,,
Task_Info_20502,,
Task_Info_20503,,
Task_Info_20504,,
Task_Info_20505,,
Task_Info_20506,,
Task_Info_20507,,
Task_Info_20508,,
Task_Info_20509,,
Task_Info_20510,,
Task_Info_30001,,
Task_Info_30004,,
Task_Info_30801,,
Task_Info_30802,,
Task_Info_30803,,
Task_Info_30804,,
Task_Info_30101,,
Task_Info_30102,,
Task_Info_30103,,
Task_Info_30104,,
Task_Info_30105,,
Task_Info_30106,,
Task_Info_30107,,
Task_Info_30108,,
Task_Info_30109,,
Task_Info_30110,,
Task_Info_30301,,
Task_Info_30302,,
Task_Info_30303,,
Task_Info_30304,,
Task_Info_30305,,
Task_Info_30306,,
Task_Info_30307,,
Task_Info_30308,,
Task_Info_30309,,
Task_Info_30310,,
Task_Info_30401,,
Task_Info_30402,,
Task_Info_30403,,
Task_Info_30404,,
Task_Info_30405,,
Task_Info_30406,,
Task_Info_30407,,
Task_Info_30408,,
Task_Info_30409,,
Task_Info_30410,,
Task_Info_30003,,
Task_Info_30007,,
Task_Info_30501,,
Task_Info_30502,,
Task_Info_30503,,
Task_Info_30504,,
Task_Info_30505,,
Task_Info_30506,,
Task_Info_30507,,
Task_Info_30508,,
Task_Info_30509,,
Task_Info_30510,,
Task_Info_30901,,
Task_Info_30902,,
Task_Info_30903,,
Task_Info_30904,,
Task_Info_30905,,
Task_Info_30906,,
Task_Info_30907,,
Task_Info_30908,,
Task_Info_30909,,
Task_Info_30910,,
Task_Info_30701,,
Task_Info_30702,,
Task_Info_30703,,
Task_Info_30704,,
Task_Info_30705,,
Task_Info_30706,,
Task_Info_30707,,
Task_Info_30708,,
Task_Info_30709,,
Task_Info_30710,,
Con_Name_1,武器店,
Con_Name_2,防具店,
Con_Name_3,熔炉,
Con_Name_4,木匠工坊,
Con_Name_5,裁缝店,
Con_Name_6,炼金房,
Con_Name_10,加工厂,
Con_Name_11,面包店,
Con_Name_12,烤肉店,
Con_Name_13,鱼店,
Con_Name_14,饮料店,
Con_Name_15,酒馆,
Con_Name_20,农场,
Con_Name_21,牧场,
Con_Name_25,伐木场,
Con_Name_30,矿洞,
Con_Name_31,中级矿洞,
Con_Name_32,高级矿洞,
Con_Name_35,猎人小屋,
Con_Name_36,高级猎人营,
Con_Name_40,钓鱼栈桥,
Con_Name_45,果园,
Paper_Name_11102,,
Paper_Name_11104,,
Paper_Name_11105,,
Paper_Name_11106,,
Paper_Name_11107,,
Paper_Name_11108,,
Paper_Name_11109,,
Paper_Name_11110,,
Paper_Name_11202,,
Paper_Name_11204,,
Paper_Name_11205,,
Paper_Name_11206,,
Paper_Name_11207,,
Paper_Name_11208,,
Paper_Name_11209,,
Paper_Name_11210,,
Paper_Name_11302,,
Paper_Name_11304,,
Paper_Name_11305,,
Paper_Name_11306,,
Paper_Name_11307,,
Paper_Name_11308,,
Paper_Name_11309,,
Paper_Name_11310,,
Paper_Name_11402,,
Paper_Name_11404,,
Paper_Name_11405,,
Paper_Name_11406,,
Paper_Name_11407,,
Paper_Name_11408,,
Paper_Name_11409,,
Paper_Name_11410,,
Paper_Name_12102,,
Paper_Name_12104,,
Paper_Name_12105,,
Paper_Name_12106,,
Paper_Name_12107,,
Paper_Name_12108,,
Paper_Name_12109,,
Paper_Name_12110,,
Paper_Name_12202,,
Paper_Name_12204,,
Paper_Name_12205,,
Paper_Name_12206,,
Paper_Name_12207,,
Paper_Name_12208,,
Paper_Name_12209,,
Paper_Name_12210,,
Paper_Name_13302,,
Paper_Name_13304,,
Paper_Name_13305,,
Paper_Name_13306,,
Paper_Name_13307,,
Paper_Name_13308,,
Paper_Name_13309,,
Paper_Name_13310,,
Paper_Name_13102,,
Paper_Name_13104,,
Paper_Name_13105,,
Paper_Name_13106,,
Paper_Name_13107,,
Paper_Name_13108,,
Paper_Name_13109,,
Paper_Name_13110,,
Paper_Name_13202,,
Paper_Name_13204,,
Paper_Name_13205,,
Paper_Name_13206,,
Paper_Name_13207,,
Paper_Name_13208,,
Paper_Name_13209,,
Paper_Name_13210,,
Paper_Name_14102,,
Paper_Name_14104,,
Paper_Name_14105,,
Paper_Name_14106,,
Paper_Name_14107,,
Paper_Name_14108,,
Paper_Name_14109,,
Paper_Name_14110,,
Paper_Name_14202,,
Paper_Name_14204,,
Paper_Name_14205,,
Paper_Name_14206,,
Paper_Name_14207,,
Paper_Name_14208,,
Paper_Name_14209,,
Paper_Name_14210,,
Paper_Name_14302,,
Paper_Name_14304,,
Paper_Name_14305,,
Paper_Name_14306,,
Paper_Name_14307,,
Paper_Name_14308,,
Paper_Name_14309,,
Paper_Name_14310,,
Paper_Name_20104,,
Paper_Name_20105,,
Paper_Name_20106,,
Paper_Name_20107,,
Paper_Name_20108,,
Paper_Name_20109,,
Paper_Name_20110,,
Paper_Name_20202,,
Paper_Name_20204,,
Paper_Name_20205,,
Paper_Name_20206,,
Paper_Name_20207,,
Paper_Name_20208,,
Paper_Name_20209,,
Paper_Name_20210,,
Paper_Name_20302,,
Paper_Name_20304,,
Paper_Name_20305,,
Paper_Name_20306,,
Paper_Name_20307,,
Paper_Name_20308,,
Paper_Name_20309,,
Paper_Name_20310,,
Paper_Name_20402,,
Paper_Name_20404,,
Paper_Name_20405,,
Paper_Name_20406,,
Paper_Name_20407,,
Paper_Name_20408,,
Paper_Name_20409,,
Paper_Name_20410,,
Paper_Name_20502,,
Paper_Name_20504,,
Paper_Name_20505,,
Paper_Name_20506,,
Paper_Name_20507,,
Paper_Name_20508,,
Paper_Name_20509,,
Paper_Name_20510,,
Paper_Name_30005,,
Paper_Name_30006,,
Paper_Name_30202,,
Paper_Name_30204,,
Paper_Info_11102,,
Paper_Info_11104,,
Paper_Info_11105,,
Paper_Info_11106,,
Paper_Info_11107,,
Paper_Info_11108,,
Paper_Info_11109,,
Paper_Info_11110,,
Paper_Info_11202,,
Paper_Info_11204,,
Paper_Info_11205,,
Paper_Info_11206,,
Paper_Info_11207,,
Paper_Info_11208,,
Paper_Info_11209,,
Paper_Info_11210,,
Paper_Info_11302,,
Paper_Info_11304,,
Paper_Info_11305,,
Paper_Info_11306,,
Paper_Info_11307,,
Paper_Info_11308,,
Paper_Info_11309,,
Paper_Info_11310,,
Paper_Info_11402,,
Paper_Info_11404,,
Paper_Info_11405,,
Paper_Info_11406,,
Paper_Info_11407,,
Paper_Info_11408,,
Paper_Info_11409,,
Paper_Info_11410,,
Paper_Info_12102,,
Paper_Info_12104,,
Paper_Info_12105,,
Paper_Info_12106,,
Paper_Info_12107,,
Paper_Info_12108,,
Paper_Info_12109,,
